Protein,Gene.names,logFC_6.5SS,pval_6.5SS,adjPval_6.5SS,logFC_6.8SS,pval_6.8SS,adjPval_6.8SS,logFC_7.1SS,pval_7.1SS,adjPval_7.1SS
A0AVT1,UBA6,0.047172132,0.588639549,1,0.226597753,0.156154771,0.551938753,0.209220546,0.188508778,0.477182287
A0FGR8,ESYT2,-0.122971567,0.207911457,1,-0.386932946,0.033218619,0.205727089,-0.573404307,0.003127186,0.029578603
A2RRP1,NBAS,0,1,1,0,1,1,0,1,1
A6NHL2,TUBAL3,0.013295115,0.851658068,1,0.033504718,0.801193511,1,0.041413446,0.743654857,1
A6NJ78,METTL15,-0.405813256,0.059527877,0.888058828,-0.46257407,0.113978367,0.462547131,-0.646053748,0.054244912,0.211197194
A8CG34;A6NF01,POM121C;POM121B,0.564118116,0.023694265,0.626672467,1.268266696,0.007087335,0.079940969,1.040133651,0.017323664,0.092438843
A8CG34;Q96HA1,POM121C;POM121,0,1,1,0,1,1,0,1,1
A8MXV4,NUDT19,-8.04772E-10,0.999935812,1,-7.64654E-10,0.999965727,1,-1.35327E-09,0.999939345,1
C9JA33;Q8IXS6,PALM2,-0.166665871,0.268141556,1,-0.385884545,0.174937643,0.582433559,-0.704582249,0.019803336,0.100590456
E9PRG8,C11orf98,0.22479425,0.064977844,0.888058828,0.580420742,0.009753844,0.098436824,0.958157404,0.000213078,0.005271967
L0R819,ASNSD1,0.055436526,0.588597806,1,0.04226374,0.816798582,1,0.197047572,0.288311019,0.624673874
O00115,DNASE2,-0.000310057,0.997175789,1,0.148653032,0.351444167,0.830851707,0.248598053,0.128386226,0.377288258
O00142,TK2,0,1,1,0,1,1,0,1,1
O00159,MYO1C,0.028417273,0.751316024,1,-0.117873986,0.462851385,0.972616328,-0.190086878,0.241945979,0.554993009
O00244,ATOX1,-0.272752723,0.165618832,1,-0.879795295,0.01765914,0.134192245,-0.844283854,0.028252023,0.132189967
O00273,DFFA,0,1,1,0,1,1,0,1,1
O00391,QSOX1,0,1,1,0,1,1,0,1,1
O00442,RTCA,0.004360487,0.916924607,1,0.011110286,0.881386658,1,0.030186694,0.685739147,1
O00462,MANBA,,,,,,,,,
O00469,PLOD2,-0.104862062,0.431462135,1,0.843624398,0.002709636,0.049483123,0.714384701,0.008238262,0.058127995
O00541,PES1,0.011269216,0.82410722,1,0.018390208,0.838472791,1,0.057671881,0.52448018,0.915159002
O00592,PODXL,0.316293583,0.019299855,0.569345727,0.562500011,0.020237924,0.145069975,0.767726821,0.002912767,0.029457641
O00625,PIR,-0.281238824,0.112726234,1,-1.394380038,0.000356533,0.016558082,-1.48159136,0.000205166,0.005245418
O00635,TRIM38,0.165986082,0.262513299,1,0.181286208,0.571923384,1,-0.195198897,0.487246017,0.875217085
