,ph.6.5,pH.6.8,pH.7.1
ANLN,1.06041198,3.155439376,3.440252351
STXBP2,0.774483944,1.653455495,1.997261993
CDC42EP3,0.750035668,2.34550808,2.639738945
CTGF,0.681426856,2.26889603,2.326147446
TPM1,0.650927105,1.427078825,1.520956704
CEP170B,0.520962751,1.77840064,1.892997579
PCOLCE,0.44584066,2.66419142,2.582134082
CLN6,0.433066066,1.379723579,1.349920427
SRA1,0.416101828,1.250163712,1.460562381
AACS,0.401598842,1.741960593,1.706176319
PIP5K1C,0.351211158,0.922477622,1.730546209
SESN2,0.264280748,1.103941158,1.448884329
NFKBIB,0.263660602,1.173934097,1.347490569
NCAPD2,0.251098345,1.587678989,1.927501771
COL1A2,0.246108427,2.931055271,3.070865509
COL1A1,0.210495147,2.58551843,2.647087602
COL3A1,0.194361572,2.548697298,2.370928222
LTBP2,0.192039075,1.668943718,1.488619421
FN1,-0.021266569,1.232061108,1.439806619
