,ph.6.5,pH.6.8,pH.7.1,clust
ANLN,-1.147747363,0.464297257,0.683450106,Cluster_8
STXBP2,-1.110968997,0.282884213,0.828084784,Cluster_8
CDC42EP3,-1.14255014,0.426587881,0.715962259,Cluster_8
CTGF,-1.154157497,0.546413554,0.607743943,Cluster_8
TPM1,-1.149108527,0.476257797,0.67285073,Cluster_8
POM121C;POM121B,-1.094957049,0.86497151,0.229985539,Cluster_8
CEP170B,-1.151424732,0.500440764,0.650983969,Cluster_8
NEDD4,-1.112855885,0.289662439,0.823193446,Cluster_8
PCOLCE,-1.154086008,0.609663772,0.544422236,Cluster_8
ISG15,-1.106043712,0.265792886,0.840250826,Cluster_8
CLN6,-1.154257776,0.604818961,0.549438815,Cluster_8
SRA1,-1.133567481,0.376340642,0.757226839,Cluster_8
GGCT,-1.140740821,0.725395517,0.415345304,Cluster_8
AACS,-1.154383629,0.600618882,0.553764747,Cluster_8
PIH1D1,-1.154696746,0.574785573,0.579911173,Cluster_8
UTP14A,-1.11592885,0.301007034,0.814921816,Cluster_8
UEVLD,-1.153119262,0.524243524,0.628875739,Cluster_8
NEU1,-1.105269651,0.263179736,0.842089915,Cluster_8
SMARCC1,-1.149734977,0.482227796,0.667507181,Cluster_8
YIF1B,-1.130422338,0.361228316,0.769194021,Cluster_8
NBR1,-1.152456391,0.638543525,0.513912866,Cluster_8
KPNB1,-1.131944536,0.368421832,0.763522704,Cluster_8
STK10,-1.15130766,0.499050929,0.65225673,Cluster_8
FKBP15,-1.148667839,0.472247452,0.676420387,Cluster_8
CALCOCO2,-1.150877868,0.494136412,0.656741456,Cluster_8
SESN2,-1.107470229,0.270658677,0.836811552,Cluster_8
NFKBIB,-1.141799615,0.42183529,0.719964324,Cluster_8
PUF60,-1.137950808,0.738683888,0.39926692,Cluster_8
UAP1,-1.153575281,0.532650893,0.620924389,Cluster_8
NCAPD2,-1.133278834,0.374912234,0.758366601,Cluster_8
COL1A2,-1.153586876,0.532884566,0.62070231,Cluster_8
LYPLA1,-1.143986924,0.707899455,0.436087468,Cluster_8
ALG6,-1.139417397,0.407548293,0.731869104,Cluster_8
ASMTL,-1.091124007,0.872802436,0.218321571,Cluster_8
COL1A1,-1.154417043,0.555050736,0.599366308,Cluster_8
TPBG,-1.121387334,0.322223887,0.799163447,Cluster_8
COL3A1,-1.152043471,0.643822039,0.508221432,Cluster_8
LTBP2,-1.147447657,0.685629622,0.461818035,Cluster_8
ELOVL5,-1.126404875,0.343181885,0.78322299,Cluster_8
MGST2,-1.153744693,0.536192031,0.617552662,Cluster_8
UXS1,-1.138927346,0.404741559,0.734185787,Cluster_8
RABEPK,-1.118835542,0.312121849,0.806713693,Cluster_8
PREP,-1.1484147,0.470006788,0.678407912,Cluster_8
NT5DC3,-1.133843943,0.756126716,0.377717227,Cluster_8
RNH1,-1.143986485,0.436084482,0.707902003,Cluster_8
FUCA2,-1.151238504,0.498240764,0.65299774,Cluster_8
NT5C,-1.144591989,0.704325852,0.440266137,Cluster_8
PICALM,-1.152869683,0.632725342,0.520144341,Cluster_8
IFT27,-1.102859182,0.847700106,0.255159076,Cluster_8
CDS2,-1.148640419,0.67663781,0.472002609,Cluster_8
APBB1IP,-1.098244058,0.857982825,0.240261233,Cluster_8
RHBDD1,-1.151245269,0.498319667,0.652925602,Cluster_8
GPSM1,-1.096026013,0.862727534,0.233298479,Cluster_8
KDELC1,-1.13705171,0.394356232,0.742695477,Cluster_8
TBL3,-1.141844351,0.422114888,0.719729463,Cluster_8
RBBP9,-1.145616453,0.44761954,0.697996912,Cluster_8
ALDOA,-1.146090904,0.694933635,0.451157269,Cluster_8
PDCD11,-1.137288177,0.395636279,0.741651898,Cluster_8
GPI,-1.151658866,0.648364888,0.503293978,Cluster_8
TSSC4,-1.121406825,0.322302384,0.799104441,Cluster_8
XRN1,-1.152006648,0.644271273,0.507735375,Cluster_8
PAPSS2,-1.119857287,0.316125973,0.803731315,Cluster_8
L3HYPDH,-1.153273557,0.526936917,0.62633664,Cluster_8
ZC3HAV1L,-1.114756751,0.296633215,0.818123536,Cluster_8
HSPB11,-1.135335009,0.385292031,0.750042978,Cluster_8
PQLC3,-1.151815642,0.505264035,0.646551607,Cluster_8
NADSYN1,-1.139163499,0.733074536,0.406088963,Cluster_8
GRHPR,-1.153103703,0.629124542,0.52397916,Cluster_8
SGPL1,-1.139176402,0.406162855,0.733013547,Cluster_8
PLCB3,-1.142800233,0.428201927,0.714598305,Cluster_8
SERPINE2,-1.107045552,0.269203222,0.83784233,Cluster_8
DDX18,-1.12109991,0.321068757,0.800031153,Cluster_8
COIL,-1.136248803,0.390068249,0.746180554,Cluster_8
GSTP1,-1.150973053,0.495200949,0.655772103,Cluster_8
PDXDC1,-1.061159163,0.924858573,0.136300591,Cluster_8
LARP4B,-1.153320362,0.625538671,0.527781691,Cluster_8
UBA6,-1.150241064,0.662922129,0.487318935,Cluster_8
ECM29,-1.104378222,0.260193296,0.844184927,Cluster_8
LGMN,-1.154024713,0.611220843,0.54280387,Cluster_8
PDLIM7,-1.124763452,0.336150908,0.788612544,Cluster_8
IRGQ,-1.145783527,0.44885515,0.696928377,Cluster_8
GTF2E1,-1.094762715,0.865376559,0.229386155,Cluster_8
RIPK1,-1.143889406,0.435424486,0.708464921,Cluster_8
SCYL1,-1.149413587,0.479122778,0.670290809,Cluster_8
MTMR6,-1.152356041,0.512486062,0.639869979,Cluster_8
NBN,-1.11725005,0.306010211,0.811239839,Cluster_8
LARS,-1.152948312,0.521404726,0.631543586,Cluster_8
