"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0085029","BP","GO:0085029","extracellular matrix assembly","5/131","193/69652",3.47792748791526e-05,0.0303413673125607,0.026390560427364,"SOX9/PHLDB2/LTBP2/COL3A1/COL1A2",5
"GO:0140042","BP","GO:0140042","lipid droplet formation","3/131","37/69652",4.82063096686609e-05,0.0303413673125607,0.026390560427364,"SQLE/RNF213/CDS2",3
"GO:0071230","BP","GO:0071230","cellular response to amino acid stimulus","6/131","341/69652",4.92554664164947e-05,0.0303413673125607,0.026390560427364,"SESN2/LARS1/COL6A1/COL3A1/COL1A2/COL1A1",6
"GO:0005583","CC","GO:0005583","fibrillar collagen trimer","3/134","49/71190",0.000112754730983273,0.011952001484227,0.00973251362171411,"COL3A1/COL1A2/COL1A1",3
"GO:0098643","CC","GO:0098643","banded collagen fibril","3/134","49/71190",0.000112754730983273,0.011952001484227,0.00973251362171411,"COL3A1/COL1A2/COL1A1",3
"GO:0005584","CC","GO:0005584","collagen type I trimer","2/134","11/71190",0.000191273725244379,0.0135166765839361,0.0110066284000274,"COL1A2/COL1A1",2
"GO:0032040","CC","GO:0032040","small-subunit processome","4/134","165/71190",0.000282596837140771,0.0149776323684609,0.0121962845502859,"UTP14A/TBL3/PDCD11/NOC4L",4
"GO:0098644","CC","GO:0098644","complex of collagen trimers","3/134","85/71190",0.000575300964412602,0.0243927608910943,0.0198630227712982,"COL3A1/COL1A2/COL1A1",3
"GO:0048407","MF","GO:0048407","platelet-derived growth factor binding","4/132","58/68155",5.25837428650216e-06,0.00172474676597271,0.00138378270697425,"COL6A1/COL3A1/COL1A2/COL1A1",4
"GO:0030020","MF","GO:0030020","extracellular matrix structural constituent conferring tensile strength","4/132","151/68155",0.000224437870229232,0.036807810717594,0.0295312987143726,"COL6A1/COL3A1/COL1A2/COL1A1",4
"GO:0016830","MF","GO:0016830","carbon-carbon lyase activity","4/132","180/68155",0.000436838179902195,0.0477609743359733,0.0383191385879118,"UXS1/SGPL1/PDXDC1/ALDOA",4
