"","Prots","Genes","pH6.5","pH6.8","pH7.1","all"
"O75663","O75663","TIPRL",TRUE,TRUE,TRUE,TRUE
"P00749","P00749","PLAU",TRUE,TRUE,TRUE,TRUE
"P12111","P12111","COL6A3",TRUE,FALSE,TRUE,TRUE
"P46934","P46934","NEDD4",TRUE,TRUE,TRUE,TRUE
"P78324","P78324","SIRPA",TRUE,TRUE,TRUE,TRUE
"Q03405","Q03405","PLAUR",TRUE,TRUE,TRUE,TRUE
"Q15582","Q15582","TGFBI",TRUE,FALSE,FALSE,FALSE
"Q6EMK4","Q6EMK4","VASN",TRUE,TRUE,TRUE,TRUE
"Q8N6S5","Q8N6S5","ARL6IP6",TRUE,FALSE,TRUE,TRUE
"Q9H7B4","Q9H7B4","SMYD3",TRUE,FALSE,FALSE,FALSE
"O00469","O00469","PLOD2",FALSE,TRUE,FALSE,FALSE
"O00625","O00625","PIR",FALSE,TRUE,TRUE,TRUE
"O43676","O43676","NDUFB3",FALSE,TRUE,TRUE,FALSE
"O60437","O60437","PPL",FALSE,TRUE,TRUE,TRUE
"O95470","O95470","SGPL1",FALSE,TRUE,TRUE,TRUE
"O96000","O96000","NDUFB10",FALSE,TRUE,TRUE,TRUE
"P02452","P02452","COL1A1",FALSE,TRUE,TRUE,TRUE
"P02461","P02461","COL3A1",FALSE,TRUE,TRUE,TRUE
"P02751","P02751","FN1",FALSE,TRUE,TRUE,TRUE
"P02792","P02792","FTL",FALSE,TRUE,TRUE,TRUE
"P05362","P05362","ICAM1",FALSE,TRUE,TRUE,TRUE
"P07093","P07093","SERPINE2",FALSE,TRUE,TRUE,TRUE
"P08123","P08123","COL1A2",FALSE,TRUE,TRUE,TRUE
"P13804","P13804","ETFA",FALSE,TRUE,TRUE,TRUE
"P17342","P17342","NPR3",FALSE,TRUE,TRUE,TRUE
"P22570","P22570","FDXR",FALSE,TRUE,TRUE,FALSE
"P29279","P29279","CTGF",FALSE,TRUE,TRUE,TRUE
"P43155","P43155","CRAT",FALSE,TRUE,TRUE,TRUE
"Q14767","Q14767","LTBP2",FALSE,TRUE,TRUE,TRUE
"Q14980","Q14980","NUMA1",FALSE,TRUE,TRUE,TRUE
"Q15113","Q15113","PCOLCE",FALSE,TRUE,TRUE,TRUE
"Q15833","Q15833","STXBP2",FALSE,TRUE,TRUE,TRUE
"Q16222","Q16222","UAP1",FALSE,TRUE,TRUE,TRUE
"Q4G176","Q4G176","ACSF3",FALSE,TRUE,TRUE,TRUE
"Q5BJH7","Q5BJH7","YIF1B",FALSE,TRUE,TRUE,TRUE
"Q5JTV8","Q5JTV8","TOR1AIP1",FALSE,TRUE,TRUE,TRUE
"Q5T1M5","Q5T1M5","FKBP15",FALSE,TRUE,TRUE,TRUE
"Q6UXV4","Q6UXV4","APOOL",FALSE,TRUE,TRUE,TRUE
"Q86V21","Q86V21","AACS",FALSE,TRUE,TRUE,TRUE
"Q96QD9","Q96QD9","FYTTD1",FALSE,TRUE,TRUE,FALSE
"Q9BV79","Q9BV79","MECR",FALSE,TRUE,TRUE,FALSE
"Q9H2K0","Q9H2K0","MTIF3",FALSE,TRUE,FALSE,FALSE
"Q9HD15","Q9HD15","SRA1",FALSE,TRUE,TRUE,TRUE
"Q9HD34","Q9HD34","LYRM4",FALSE,TRUE,TRUE,TRUE
"Q9NPJ3","Q9NPJ3","ACOT13",FALSE,TRUE,TRUE,TRUE
"Q9NWS0","Q9NWS0","PIH1D1",FALSE,TRUE,TRUE,TRUE
"Q9NYP7","Q9NYP7","ELOVL5",FALSE,TRUE,TRUE,TRUE
"Q9UKI2","Q9UKI2","CDC42EP3",FALSE,TRUE,TRUE,TRUE
"Q9ULQ1","Q9ULQ1","TPCN1",FALSE,TRUE,TRUE,TRUE
"Q9Y4H2","Q9Y4H2","IRS2",FALSE,TRUE,TRUE,TRUE
"Q9Y6A9","Q9Y6A9","SPCS1",FALSE,TRUE,FALSE,FALSE
