"","Contrast","SignificantProteins","Description"
"1","ridgematrixStiff",10,"Stiff/Soft @pH6.5"
"2","ridgematrixStiff + ridgematrixStiff:pH6.8",48,"Stiff/Soft @pH6.8"
"3","ridgematrixStiff + ridgematrixStiff:pH7.1",104,"Stiff/Soft @pH7.1"
"4","ridgepH6.8",0,"pH6.8/ph6.5 in Soft"
"5","ridgepH6.8 + ridgematrixStiff:pH6.8",109,"pH6.8/ph6.5 in Stiff"
"6","ridgepH7.1",0,"pH7.1/ph6.5 in Soft"
"7","ridgepH7.1 + ridgematrixStiff:pH7.1",153,"pH7.1/ph6.5 in Stiff"
"8","ridgepH7.1 - ridgepH6.8",0,"pH7.1/ph6.8 in Soft"
"9","ridgepH7.1 + ridgematrixStiff:pH7.1 - ridgepH6.8 + ridgematrixStiff:pH6.8",106,"pH7.1/ph6.8 in Stiff"
"10","ridgematrixStiff + (ridgematrixStiff:pH6.8/3) + (ridgematrixStiff:pH7.1/3)",48,"Stiff/Soft"
"11","ridgepH6.8 + 0.5 * ridgematrixStiff:pH6.8",2,"pH6.8/pH6.5"
"12","ridgepH7.1 + 0.5 * ridgematrixStiff:pH7.1",13,"pH7.1/pH6.5"
"13","ridgepH7.1 + 0.5 * ridgematrixStiff:pH7.1 - ridgepH6.8 + 0.5 * ridgematrixStiff:pH6.8",28,"pH7.1/ph6.8"
"14","ridgematrixStiff:pH6.8",123,"Interaction of Stiff/Soft with pH6.8/pH6.5"
"15","ridgematrixStiff:pH7.1",217,"Interaction of Stiff/Soft with pH7.1/pH6.5"
"16","ridgematrixStiff:pH7.1 - ridgematrixStiff:pH6.8",1,"Interaction of Stiff/Soft with pH7.1/pH6.8"
